run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,selected_without_test,notes
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.001,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p01_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p001_wd0p01_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.001,focused_validation_screen,0.01,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.002,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p01_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_wd0p01_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.002,focused_validation_screen,0.01,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.005,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_wd0p01_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_wd0p01_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.005,focused_validation_screen,0.01,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p001_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p001_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,7,256,hetero,1.0,data,0.001,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p001_wd0p01_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p001_wd0p01_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,7,256,hetero,1.0,data,0.001,focused_validation_screen,0.01,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p002_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p002_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,7,256,hetero,1.0,data,0.002,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p002_wd0p01_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p002_wd0p01_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,7,256,hetero,1.0,data,0.002,focused_validation_screen,0.01,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p005_wd0p001_cm15_slr1p5,optimistic_curve_tuning_v1,optimistic_curve_screen_v1,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/optimistic_curve_screen_v1,results/curve_fitting_tuning/optimistic_curve_screen_v1/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R7_batch256_glr0p005_wd0p001_cm15_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,7,256,hetero,1.0,data,0.005,focused_validation_screen,0.001,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Sine FedOGDA-S lower-regularization screen; rank by validation only. Test and curve metrics are post-selection diagnostics.
